year,category,nominee,movie,winner,id
2009,actor in a supporting role,Woody Harrelson,The Messenger,FALSE,1539
2002,actor in a leading role,Adrien Brody,The Pianist,TRUE,4
2006,actor in a leading role,Will Smith,The Pursuit of Happyness,FALSE,1518
2006,actress in a leading role,Helen Mirren,The Queen,TRUE,557
2002,actor in a leading role,Michael Caine,The Quiet American,FALSE,1072
2008,actress in a leading role,Kate Winslet,The Reader,TRUE,855
2007,actress in a leading role,Laura Linney,The Savages,FALSE,899
2012,actress in a supporting role,Helen Hunt,The Sessions,FALSE,554
2010,actor in a leading role,Jesse Eisenberg,The Social Network,FALSE,723
2010,actor in a supporting role,Jeremy Renner,The Town,FALSE,722
2008,actor in a leading role,Richard Jenkins,The Visitor,FALSE,1250
2008,actress in a supporting role,Marisa Tomei,The Wrestler,FALSE,990
2008,actor in a leading role,Mickey Rourke,The Wrestler,FALSE,1093
2007,actor in a leading role,Daniel Day-Lewis,There Will Be Blood,TRUE,287
2003,actress in a supporting role,Holly Hunter,Thirteen,FALSE,570
2011,actor in a leading role,Gary Oldman,Tinker Tailor Soldier Spy,FALSE,450
2000,actor in a supporting role,Benicio Del Toro,Traffic,TRUE,138
2001,actor in a leading role,Denzel Washington,Training Day,TRUE,313
2001,actor in a supporting role,Ethan Hawke,Training Day,FALSE,407
2005,actress in a leading role,Felicity Huffman,Transamerica,FALSE,423
2008,actor in a supporting role,Robert Downey Jr.,Tropic Thunder,FALSE,1267
2010,actress in a supporting role,Hailee Steinfeld,True Grit,FALSE,540
2010,actor in a leading role,Jeff Bridges,True Grit,FALSE,708
2002,actress in a leading role,Diane Lane,Unfaithful,FALSE,327
2009,actress in a supporting role,Anna Kendrick,Up in the Air,FALSE,65
2009,actor in a leading role,George Clooney,Up in the Air,FALSE,478
2009,actress in a supporting role,Vera Farmiga,Up in the Air,FALSE,1482
2006,actor in a leading role,Peter O'Toole,Venus,FALSE,1201
2004,actress in a leading role,Imelda Staunton,Vera Drake,FALSE,586
2008,actress in a supporting role,Pen_lope Cruz,Vicky Cristina Barcelona,TRUE,1184
2006,actress in a leading role,Pen_lope Cruz,Volver,FALSE,1183
2005,actor in a leading role,Joaquin Phoenix,Walk the Line,FALSE,758
2005,actress in a leading role,Reese Witherspoon,Walk the Line,TRUE,1229
2011,actor in a supporting role,Nick Nolte,Warrior,FALSE,1130
2003,actress in a leading role,Keisha Castle-Hughes,Whale Rider,FALSE,876
2010,actress in a leading role,Jennifer Lawrence,Winter's Bone,FALSE,717
2010,actor in a supporting role,John Hawkes,Winter's Bone,FALSE,776
2000,actress in a leading role,Laura Linney,You Can Count on Me,FALSE,897
2012,actress in a leading role,Jessica Chastain,Zero Dark Thirty,FALSE,725
1952,actress in a supporting role,Colette Marchand,Moulin Rouge,FALSE,271
1952,actor,Jos_ Ferrer,Moulin Rouge,FALSE,802
1969,actor,John Wayne,True Grit,TRUE,791
